treat	temp	ID	TOTAL	SMR	MMR	AMR	AS	SP
ctrl	20	L1	1	0.053	0.0466	0.145	0.092	0.0984
ctrl	20	L16	1	0.044	0.0508	0.149	0.105	0.0982
ctrl	20	L24	1	0.0424	0.0404	0.201	0.1586	0.1606
ctrl	20	L25	1	0.0358	0.0362	0.211	0.1752	0.1748
ctrl	20	L33	1	0.03	0.0392	0.19	0.16	0.1508
ctrl	20	L35	1	0.0486	0.0414	0.151	0.1024	0.1096
ctrl	20	L39	1	0.0408	0.045	0.172	0.1312	0.127
ctrl	20	L41	1	0.038	0.0384	0.156	0.118	0.1176
ctrl	20	L5	1	0.051	0.0468	0.183	0.132	0.1362
ctrl	20	L9	1	0.0618	0.0626	0.155	0.0932	0.0924
ctrl	23	L14	1	0.056	0.0794	0.157	0.101	0.0776
ctrl	23	L19	1	0.062	0.0854	0.148	0.086	0.0626
ctrl	23	L26	1	0.061	0.0574	0.139	0.078	0.0816
ctrl	23	L27	1	0.0652	0.0732	0.163	0.0978	0.0898
ctrl	23	L30	1	0.0568	0.0646	0.197	0.1402	0.1324
ctrl	23	L31	1	0.0686	0.0626	0.127	0.0584	0.0644
ctrl	23	L34	1	0.08	0.0686	0.186	0.106	0.1174
ctrl	23	L36	1	0.0518	0.0536	0.126	0.0742	0.0724
ctrl	23	L38	1	0.0478	0.0504	0.149	0.1012	0.0986
ctrl	23	L4	1	0.078	0.0604	0.143	0.065	0.0826
ctrl	23	L40	1	0.0424	0.0516	0.135	0.0926	0.0834
ctrl	23	L6	1	0.0544	0.0608	0.109	0.0546	0.0482
pred	20	L15	1	0.0412	0.065	0.175	0.1338	0.11
pred	20	L18	1	0.0742	0.0604	0.153	0.0788	0.0926
pred	20	L2	1	0.044	0.0954	0.158	0.114	0.0626
pred	20	L20	1	0.0598	0.0586	0.188	0.1282	0.1294
pred	20	L29	1	0.0274	0.0492	0.171	0.1436	0.1218
pred	20	L37	1	0.0362	0.0396	0.151	0.1148	0.1114
pred	20	L43	1	0.0242	0.041	0.14	0.1158	0.099
pred	23	L10	1	0.0978	0.0942	0.161	0.0632	0.0668
pred	23	L22	1	0.0708	0.0564	0.155	0.0842	0.0986
pred	23	L23	1	0.0518	0.056	0.135	0.0832	0.079
pred	23	L3	1	0.0394	0.0594	0.131	0.0916	0.0716
pred	23	L32	1	0.0556	0.0516	0.182	0.1264	0.1304
pred	23	L42	1	0.0826	0.0668	0.169	0.0864	0.1022
pred	23	L7	1	0.0684	0.0668	0.164	0.0956	0.0972
pred	23	L8	1	0.0572	0.0588	0.121	0.0638	0.0622
