treat	temp	ID	TOTAL	RMR	period
ctrl	20	L1	6	0.066	N
ctrl	20	L16	6	0.118	N
ctrl	20	L24	6	0.053	N
ctrl	20	L25	6	0.060	N
ctrl	20	L33	6	0.046	N
ctrl	20	L35	6	0.067	N
ctrl	20	L39	6	0.071	N
ctrl	20	L41	6	0.066	N
ctrl	20	L5	6	0.074	N
ctrl	20	L9	6	0.089	N
ctrl	23	L14	6	0.087	N
ctrl	23	L19	6	0.134	N
ctrl	23	L26	6	0.102	N
ctrl	23	L27	6	0.123	N
ctrl	23	L30	6	0.099	N
ctrl	23	L31	6	0.085	N
ctrl	23	L34	6	0.074	N
ctrl	23	L36	6	0.085	N
ctrl	23	L38	6	0.106	N
ctrl	23	L4	6	0.102	N
ctrl	23	L40	6	0.073	N
ctrl	23	L6	6	0.099	N
pred	20	L15	6	0.039	N
pred	20	L18	6	0.038	N
pred	20	L2	6	0.127	N
pred	20	L20	6	0.054	N
pred	20	L29	6	0.061	N
pred	20	L37	6	0.060	N
pred	20	L43	6	0.042	N
pred	23	L10	6	0.115	N
pred	23	L22	6	0.096	N
pred	23	L23	6	0.085	N
pred	23	L3	6	0.094	N
pred	23	L32	6	0.068	N
pred	23	L42	6	0.110	N
pred	23	L7	6	0.103	N
pred	23	L8	6	0.081	N
ctrl	20	L1	5	0.070	D
ctrl	20	L16	5	0.082	D
ctrl	20	L24	5	0.045	D
ctrl	20	L25	5	0.046	D
ctrl	20	L33	5	0.049	D
ctrl	20	L35	5	0.054	D
ctrl	20	L39	5	0.071	D
ctrl	20	L41	5	0.045	D
ctrl	20	L5	5	0.061	D
ctrl	20	L9	5	0.072	D
ctrl	23	L14	5	0.091	D
ctrl	23	L19	5	0.114	D
ctrl	23	L26	5	0.086	D
ctrl	23	L27	5	0.102	D
ctrl	23	L30	5	0.081	D
ctrl	23	L31	5	0.069	D
ctrl	23	L34	5	0.071	D
ctrl	23	L36	5	0.074	D
ctrl	23	L38	5	0.063	D
ctrl	23	L4	5	0.084	D
ctrl	23	L40	5	0.067	D
ctrl	23	L6	5	0.085	D
pred	20	L15	5	0.084	D
pred	20	L18	5	0.068	D
pred	20	L2	5	0.111	D
pred	20	L20	5	0.071	D
pred	20	L29	5	0.060	D
pred	20	L37	5	0.062	D
pred	20	L43	5	0.063	D
pred	23	L10	5	0.102	D
pred	23	L22	5	0.079	D
pred	23	L23	5	0.080	D
pred	23	L3	5	0.071	D
pred	23	L32	5	0.069	D
pred	23	L42	5	0.084	D
pred	23	L7	5	0.074	D
pred	23	L8	5	0.072	D
